time,shunt_resistance
2023-10-12 15:38:49.785892, 47.1257596
2023-10-12 15:38:50.573352, 47.1268315
2023-10-12 15:38:51.335459, 47.1273079
2023-10-12 15:38:52.109203, 47.1273377
2023-10-12 15:38:52.882577, 47.1281118
2023-10-12 15:38:53.660080, 47.1281416
2023-10-12 15:38:54.440379, 47.1282607
2023-10-12 15:38:55.198172, 47.1284691
2023-10-12 15:38:55.976771, 47.1290646
2023-10-12 15:38:56.767236, 47.1286775
2023-10-12 15:38:57.538993, 47.1281416
2023-10-12 15:38:58.304794, 47.128618
2023-10-12 15:38:59.087197, 47.128886
2023-10-12 15:38:59.846001, 47.1286478
2023-10-12 15:39:00.620736, 47.1284989
2023-10-12 15:39:01.415107, 47.1286478
2023-10-12 15:39:02.182091, 47.1283202
2023-10-12 15:39:02.951766, 47.1283798
2023-10-12 15:39:03.724963, 47.1285287
2023-10-12 15:39:04.500377, 47.1289753
2023-10-12 15:39:05.276376, 47.1282011
2023-10-12 15:39:06.057865, 47.128886
2023-10-12 15:39:06.816209, 47.1284393
2023-10-12 15:39:07.602452, 47.1285287
2023-10-12 15:39:08.378432, 47.1285287
2023-10-12 15:39:09.151702, 47.128886
2023-10-12 15:39:09.930730, 47.128886
2023-10-12 15:39:10.695553, 47.1293624
2023-10-12 15:39:11.470168, 47.1290348
2023-10-12 15:39:12.260295, 47.128618
2023-10-12 15:39:13.022651, 47.1284393
2023-10-12 15:39:13.811044, 47.128886
2023-10-12 15:39:14.575303, 47.1287669
2023-10-12 15:39:15.356594, 47.1286478
2023-10-12 15:39:16.124593, 47.128618
2023-10-12 15:39:16.898875, 47.1294219
2023-10-12 15:39:17.672203, 47.1290944
2023-10-12 15:39:18.447173, 47.1283798
2023-10-12 15:39:19.220685, 47.1283798
2023-10-12 15:39:20.010927, 47.1287371
2023-10-12 15:39:20.772334, 47.1290348
2023-10-12 15:39:21.553762, 47.1293624
2023-10-12 15:39:22.322717, 47.1288264
2023-10-12 15:39:23.085037, 47.1289157
2023-10-12 15:39:23.865295, 47.1289157
2023-10-12 15:39:24.633172, 47.1284989
2023-10-12 15:39:25.408969, 47.1294517
2023-10-12 15:39:26.181823, 47.1290944
2023-10-12 15:39:26.968644, 47.1289157
2023-10-12 15:39:27.726489, 47.1292135
2023-10-12 15:39:28.514298, 47.1293624
2023-10-12 15:39:29.282067, 47.1284691
2023-10-12 15:39:30.052247, 47.129273
2023-10-12 15:39:30.923858, 47.1296899
2023-10-12 15:39:31.706258, 47.1300174
2023-10-12 15:39:32.480830, 47.1291539
2023-10-12 15:39:33.254098, 47.1296899
2023-10-12 15:39:34.014953, 47.129273
2023-10-12 15:39:34.789110, 47.1286775
2023-10-12 15:39:35.567167, 47.1285882
2023-10-12 15:39:36.353877, 47.1289157
2023-10-12 15:39:37.115766, 47.1289455
2023-10-12 15:39:37.891440, 47.1288264
2023-10-12 15:39:38.664162, 47.1293326
2023-10-12 15:39:39.431652, 47.1290348
2023-10-12 15:39:40.222772, 47.1287669
2023-10-12 15:39:40.985968, 47.1293921
2023-10-12 15:39:41.752765, 47.1285584
2023-10-12 15:39:42.530386, 47.1293326
2023-10-12 15:39:43.303261, 47.1292433
2023-10-12 15:39:44.080898, 47.1296006
2023-10-12 15:39:44.865847, 47.1296006
2023-10-12 15:39:45.638952, 47.1293326
2023-10-12 15:39:46.401503, 47.1290646
2023-10-12 15:39:47.181778, 47.1290348
2023-10-12 15:39:47.948463, 47.1287669
2023-10-12 15:39:48.722022, 47.1294815
2023-10-12 15:39:49.489638, 47.1290051
2023-10-12 15:39:50.266517, 47.1290646
2023-10-12 15:39:51.040025, 47.1290944
2023-10-12 15:39:51.819642, 47.1297197
2023-10-12 15:39:52.594345, 47.1296303
2023-10-12 15:39:53.375488, 47.1300472
2023-10-12 15:39:54.143773, 47.1293326
2023-10-12 15:39:54.920799, 47.1293326
2023-10-12 15:39:55.720162, 47.1291539
2023-10-12 15:39:56.481168, 47.1298685
2023-10-12 15:39:57.248520, 47.1291242
2023-10-12 15:39:58.020972, 47.1294517
2023-10-12 15:39:58.798982, 47.1294815
2023-10-12 15:39:59.570849, 47.1293921
2023-10-12 15:40:00.338458, 47.1294815
2023-10-12 15:40:01.107808, 47.1292433
2023-10-12 15:40:01.881566, 47.1297494
2023-10-12 15:40:02.663229, 47.1303747
2023-10-12 15:40:03.431571, 47.1292135
2023-10-12 15:40:04.216083, 47.1293326
2023-10-12 15:40:04.991709, 47.1288562
2023-10-12 15:40:05.769487, 47.1298388
2023-10-12 15:40:06.534501, 47.1296899
2023-10-12 15:40:07.316070, 47.1296006
2023-10-12 15:40:08.083421, 47.1290348
2023-10-12 15:40:08.852495, 47.1289157
2023-10-12 15:40:09.629471, 47.1295112
2023-10-12 15:40:10.402460, 47.1296303
2023-10-12 15:40:11.183275, 47.1296006
2023-10-12 15:40:11.959989, 47.1298685
2023-10-12 15:40:12.727087, 47.1289753
2023-10-12 15:40:13.504413, 47.1294517
2023-10-12 15:40:14.280468, 47.1295112
2023-10-12 15:40:15.042490, 47.1294517
2023-10-12 15:40:15.811043, 47.1296899
2023-10-12 15:40:16.601781, 47.129273
2023-10-12 15:40:17.376105, 47.1299579
2023-10-12 15:40:18.152013, 47.1292135
2023-10-12 15:40:18.917051, 47.129273
2023-10-12 15:40:19.692254, 47.1292135
2023-10-12 15:40:20.458692, 47.1290051
2023-10-12 15:40:21.231456, 47.1289455
2023-10-12 15:40:22.021523, 47.1290646
2023-10-12 15:40:22.782574, 47.1296006
2023-10-12 15:40:23.550989, 47.1294219
2023-10-12 15:40:24.342959, 47.1286478
2023-10-12 15:40:25.110274, 47.1288264
2023-10-12 15:40:25.890624, 47.128886
2023-10-12 15:40:26.658775, 47.1290646
2023-10-12 15:40:27.442680, 47.1289455
2023-10-12 15:40:28.205387, 47.1296601
2023-10-12 15:40:28.977125, 47.1296303
2023-10-12 15:40:29.737247, 47.1296899
2023-10-12 15:40:30.532361, 47.1291242
2023-10-12 15:40:31.306179, 47.128886
2023-10-12 15:40:32.084372, 47.1288562
2023-10-12 15:40:32.863418, 47.1294517
2023-10-12 15:40:33.631493, 47.1288562
2023-10-12 15:40:34.411426, 47.1290944
2023-10-12 15:40:35.186502, 47.1293028
2023-10-12 15:40:35.945310, 47.128618
2023-10-12 15:40:36.720260, 47.1290944
2023-10-12 15:40:37.493378, 47.1297197
2023-10-12 15:40:38.268089, 47.129541
2023-10-12 15:40:39.042195, 47.1295112
