time,sample_holder_res,sample_holder_temp,exhaust_res,exhaust_temp,target_temp,cooling_active,heating_active,proportional,integral,derivative
2024-06-28 09:32:20,1101.24762,298.933,1091.13399,295.957,-1.000,0,0,0,0,0
2024-06-28 09:32:24,1101.25626,298.935,1091.3009,296.000,-1.000,0,0,0,0,0
2024-06-28 09:32:28,1101.26043,298.936,1091.40134,296.026,-1.000,0,0,0,0,0
2024-06-28 09:32:32,1101.26192,298.937,1091.48659,296.048,-1.000,0,0,0,0,0
2024-06-28 09:32:36,1101.26341,298.937,1091.5459,296.063,-1.000,0,0,0,0,0
2024-06-28 09:32:40,1101.26371,298.937,1091.59717,296.076,-1.000,0,0,0,0,0
2024-06-28 09:32:44,1101.26312,298.937,1091.64158,296.088,-1.000,0,0,0,0,0
2024-06-28 09:32:48,1101.26312,298.937,1091.68181,296.098,-1.000,0,0,0,0,0
2024-06-28 09:32:52,1101.26341,298.937,1091.72324,296.109,-1.000,0,0,0,0,0
2024-06-28 09:32:57,1101.26341,298.937,1091.7763,296.122,-1.000,0,0,0,0,0
2024-06-28 09:33:01,1101.26341,298.937,1091.80521,296.130,-1.000,0,0,0,0,0
2024-06-28 09:33:05,1101.26371,298.937,1091.84217,296.139,-1.000,0,0,0,0,0
2024-06-28 09:33:09,1101.26371,298.937,1091.8529,296.142,-1.000,0,0,0,0,0
2024-06-28 09:33:13,1101.26222,298.937,1091.87436,296.147,-1.000,0,0,0,0,0
2024-06-28 09:33:17,1101.26431,298.937,1091.90267,296.155,-1.000,0,0,0,0,0
2024-06-28 09:33:22,1101.2652,298.938,1091.9143,296.158,-1.000,0,0,0,0,0
2024-06-28 09:33:26,1101.2658,298.938,1091.92384,296.160,-1.000,0,0,0,0,0
2024-06-28 09:33:30,1101.2649,298.937,1091.93546,296.163,-1.000,0,0,0,0,0
2024-06-28 09:33:34,1101.2661,298.938,1091.95066,296.167,-1.000,0,0,0,0,0
2024-06-28 09:33:38,1101.2652,298.938,1091.96228,296.170,-1.000,0,0,0,0,0
2024-06-28 09:33:42,1101.26431,298.937,1091.98255,296.175,-1.000,0,0,0,0,0
2024-06-28 09:33:46,1101.26431,298.937,1091.9909,296.177,-1.000,0,0,0,0,0
2024-06-28 09:33:51,1101.2661,298.938,1092.00073,296.180,-1.000,0,0,0,0,0
2024-06-28 09:33:55,1101.2655,298.938,1092.01176,296.183,-1.000,0,0,0,0,0
2024-06-28 09:33:59,1101.26729,298.938,1092.01355,296.183,-1.000,0,0,0,0,0
2024-06-28 09:34:03,1101.2655,298.938,1092.02249,296.185,-1.000,0,0,0,0,0
2024-06-28 09:34:07,1101.2658,298.938,1092.02965,296.187,-1.000,0,0,0,0,0
2024-06-28 09:34:11,1101.2655,298.938,1092.03918,296.190,-1.000,0,0,0,0,0
2024-06-28 09:34:15,1101.26669,298.938,1092.04425,296.191,-1.000,0,0,0,0,0
2024-06-28 09:34:19,1101.26639,298.938,1092.04872,296.192,-1.000,0,0,0,0,0
2024-06-28 09:34:23,1101.2655,298.938,1092.0514,296.193,-1.000,0,0,0,0,0
2024-06-28 09:34:28,1101.26639,298.938,1092.06184,296.196,-1.000,0,0,0,0,0
2024-06-28 09:34:32,1101.26699,298.938,1092.06482,296.196,-1.000,0,0,0,0,0
2024-06-28 09:34:36,1101.2661,298.938,1092.06869,296.197,-1.000,0,0,0,0,0
2024-06-28 09:34:40,1101.26639,298.938,1092.07465,296.199,-1.000,0,0,0,0,0
2024-06-28 09:34:44,1101.2655,298.938,1092.07555,296.199,-1.000,0,0,0,0,0
2024-06-28 09:34:48,1101.26639,298.938,1092.07882,296.200,-1.000,0,0,0,0,0
2024-06-28 09:34:52,1101.26639,298.938,1092.08479,296.202,-1.000,0,0,0,0,0
2024-06-28 09:34:56,1101.26788,298.938,1092.08717,296.202,-1.000,0,0,0,0,0
2024-06-28 09:35:01,1101.26669,298.938,1092.08836,296.202,-1.000,0,0,0,0,0
2024-06-28 09:35:05,1101.26759,298.938,1092.09283,296.204,-1.000,0,0,0,0,0
2024-06-28 09:35:09,1101.26669,298.938,1092.09879,296.205,-1.000,0,0,0,0,0
2024-06-28 09:35:13,1101.26729,298.938,1092.10028,296.205,-1.000,0,0,0,0,0
2024-06-28 09:35:17,1101.26699,298.938,1092.10148,296.206,-1.000,0,0,0,0,0
2024-06-28 09:35:21,1101.26669,298.938,1092.10893,296.208,-1.000,0,0,0,0,0
2024-06-28 09:35:25,1101.26759,298.938,1092.10654,296.207,-1.000,0,0,0,0,0
2024-06-28 09:35:29,1101.26759,298.938,1092.10833,296.208,-1.000,0,0,0,0,0
2024-06-28 09:35:34,1101.26669,298.938,1092.11429,296.209,-1.000,0,0,0,0,0
2024-06-28 09:35:38,1101.26699,298.938,1092.11459,296.209,-1.000,0,0,0,0,0
2024-06-28 09:35:42,1101.26669,298.938,1092.114,296.209,-1.000,0,0,0,0,0
2024-06-28 09:35:46,1101.26878,298.938,1092.11668,296.210,-1.000,0,0,0,0,0
