time,sample_holder_res,sample_holder_temp,exhaust_res,exhaust_temp,target_temp,cooling_active,heating_active,proportional,integral,derivative
2023-11-08 17:23:29,666.308205,188.859,795.056387,220.713,190.000,0,0,65.3,9.02e-07,7.82
2023-11-08 17:23:31,666.309099,188.860,795.583946,220.846,190.000,0,0,65.3,9.02e-07,7.82
2023-11-08 17:23:33,666.307609,188.859,796.106736,220.977,190.000,0,0,65.3,9.02e-07,7.82
2023-11-08 17:23:35,666.307907,188.859,796.633996,221.110,190.000,0,0,65.3,9.02e-07,7.82
2023-11-08 17:23:37,666.307907,188.859,797.157382,221.241,190.000,0,0,65.3,9.02e-07,7.82
2023-11-08 17:23:39,666.309993,188.860,797.677192,221.371,190.000,0,0,65.3,9.02e-07,7.82
2023-11-08 17:23:41,666.311484,188.860,798.192828,221.501,190.000,0,0,65.3,9.02e-07,7.82
2023-11-08 17:23:42,666.312974,188.860,798.712637,221.632,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:23:44,666.314464,188.861,799.227976,221.761,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:23:46,666.315656,188.861,799.743016,221.890,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:23:48,666.317743,188.862,800.257759,222.020,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:23:50,666.321915,188.863,800.76505,222.147,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:23:52,666.323108,188.863,801.276513,222.275,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:23:54,666.326088,188.864,801.787083,222.404,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:23:56,666.329069,188.864,802.295268,222.531,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:23:58,666.332049,188.865,802.801963,222.659,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:24:00,666.335626,188.866,803.302697,222.785,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:24:02,666.341289,188.868,803.799556,222.909,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:24:04,666.34427,188.868,804.297905,223.035,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:24:06,666.348442,188.869,804.797745,223.160,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:24:08,666.351125,188.870,805.292815,223.285,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:24:10,666.355596,188.871,805.784309,223.408,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:24:12,666.360961,188.872,806.278486,223.532,190.000,0,1,65.3,9.02e-07,7.82
2023-11-08 17:24:14,666.365432,188.873,806.773556,223.657,190.000,0,1,65.3,9.02e-07,7.82
