time,sample_holder_res,sample_holder_temp,exhaust_res,exhaust_temp,target_temp,cooling_active,heating_active,proportional,integral,derivative
2023-11-14 10:29:27,833.882327,230.824,1017.06712,276.971,-1.000,0,0,0,0,0
2023-11-14 10:29:29,833.899018,230.829,1017.1619,276.995,-1.000,0,0,0,0,0
2023-11-14 10:29:31,833.915113,230.833,1017.25579,277.019,-1.000,0,0,67.1,6.6e-07,5.49
2023-11-14 10:29:33,833.926738,230.836,1017.34431,277.042,-1.000,0,0,67.1,6.6e-07,5.49
2023-11-14 10:29:35,833.937468,230.838,1017.43284,277.065,-1.000,0,0,67.1,6.6e-07,5.49
2023-11-14 10:29:37,833.949986,230.841,1017.52017,277.087,-1.000,0,0,67.1,6.6e-07,5.49
2023-11-14 10:29:39,833.96012,230.844,1017.6066,277.109,-1.000,0,0,67.1,6.6e-07,5.49
2023-11-14 10:29:41,833.96936,230.846,1017.69423,277.131,-1.000,0,0,67.1,6.6e-07,5.49
2023-11-14 10:29:43,833.978003,230.848,1017.77888,277.153,230.000,0,0,67.1,6.6e-07,5.49
2023-11-14 10:29:45,833.987839,230.851,1017.86532,277.175,230.000,0,0,67.1,6.6e-07,5.49
2023-11-14 10:29:47,833.997973,230.854,1017.95116,277.197,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:29:49,834.008107,230.856,1017.73387,277.142,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:29:51,834.017049,230.858,1014.90443,276.418,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:29:53,834.027182,230.861,1010.27413,275.235,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:29:55,834.034336,230.863,1004.17919,273.678,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:29:57,834.044172,230.865,997.511383,271.976,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:29:59,834.054306,230.868,990.765486,270.255,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:01,834.063247,230.870,983.750147,268.465,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:03,834.070997,230.872,976.22096,266.546,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:05,834.080534,230.874,968.776718,264.650,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:07,834.086794,230.876,961.693124,262.846,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:09,834.091264,230.877,955.335892,261.229,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:10,834.094245,230.878,948.358704,259.454,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:12,834.096033,230.878,941.934707,257.821,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:14,834.096927,230.878,935.818602,256.267,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:16,834.095735,230.878,929.666432,254.704,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:18,834.090966,230.877,923.74615,253.201,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:20,834.084111,230.875,917.063441,251.506,230.000,1,0,67.1,6.6e-07,5.49
2023-11-14 10:30:22,834.077852,230.874,911.829879,250.179,230.000,1,0,67.1,6.6e-07,5.49
