time,sample_holder_res,sample_holder_temp,exhaust_res,exhaust_temp,target_temp,cooling_active,heating_active,proportional,integral,derivative
2023-12-14 09:48:17,995.585347,271.904,1079.13158,292.873,-1.000,0,0,0,0,0
2023-12-14 09:48:21,995.585049,271.903,1079.13635,292.874,-1.000,0,0,0,0,0
2023-12-14 09:48:25,995.580876,271.902,1079.13963,292.875,-1.000,0,0,0,0,0
2023-12-14 09:48:30,995.577001,271.901,1079.13605,292.874,-1.000,0,0,0,0,0
2023-12-14 09:48:34,995.574617,271.901,1079.13307,292.874,300.000,0,0,0,0,0
2023-12-14 09:48:38,995.570444,271.900,1079.12711,292.872,300.000,0,0,0,0,0
2023-12-14 09:48:42,995.565079,271.898,1079.12353,292.871,300.000,0,0,45,3e-07,6
2023-12-14 09:48:46,995.560012,271.897,1079.12085,292.870,300.000,0,0,45,3e-07,6
2023-12-14 09:48:50,995.556435,271.896,1079.11787,292.870,300.000,0,0,45,3e-07,6
2023-12-14 09:48:55,995.555243,271.896,1079.11608,292.869,300.000,0,0,45,3e-07,6
2023-12-14 09:48:59,995.550772,271.895,1079.10833,292.867,300.000,0,1,45,3e-07,6
2023-12-14 09:49:03,995.595481,271.906,1079.10088,292.865,300.000,0,1,45,3e-07,6
2023-12-14 09:49:07,996.071476,272.028,1079.0976,292.864,300.000,0,1,45,3e-07,6
2023-12-14 09:49:11,996.327207,272.093,1079.09671,292.864,300.000,0,1,45,3e-07,6
2023-12-14 09:49:15,996.591583,272.161,1079.09045,292.863,300.000,0,1,45,3e-07,6
2023-12-14 09:49:20,996.864602,272.231,1079.09015,292.863,320.000,0,1,45,3e-07,6
2023-12-14 09:49:24,997.14388,272.302,1079.09075,292.863,320.000,0,1,45,3e-07,6
2023-12-14 09:49:28,997.423457,272.373,1079.09373,292.863,320.000,0,1,45,3e-07,6
2023-12-14 09:49:32,997.984398,272.517,1079.09194,292.863,320.000,0,1,45,3e-07,6
2023-12-14 09:49:36,998.263676,272.588,1079.09015,292.863,320.000,0,1,45,3e-07,6
2023-12-14 09:49:41,998.539378,272.659,1079.08657,292.862,320.000,0,1,45,3e-07,6
2023-12-14 09:49:45,998.812695,272.729,1079.08955,292.862,320.000,0,1,45,3e-07,6
2023-12-14 09:49:49,999.080945,272.797,1079.08955,292.862,320.000,0,1,45,3e-07,6
2023-12-14 09:49:53,999.346811,272.865,1079.08419,292.861,320.000,0,1,45,3e-07,6
2023-12-14 09:49:57,999.866918,272.998,1079.08598,292.861,320.000,0,1,45,3e-07,6
2023-12-14 09:50:02,1000.12325,273.064,1079.08061,292.860,320.000,0,1,45,3e-07,6
2023-12-14 09:50:06,1000.37451,273.128,1079.0821,292.860,320.000,0,1,45,3e-07,6
2023-12-14 09:50:10,1000.62547,273.192,1079.07465,292.859,320.000,0,1,45,3e-07,6
2023-12-14 09:50:14,1000.87435,273.256,1079.07137,292.858,320.000,0,1,45,3e-07,6
2023-12-14 09:50:18,1001.11994,273.319,1079.08478,292.861,320.000,0,1,45,3e-07,6
2023-12-14 09:50:23,1001.60429,273.443,1079.08687,292.862,320.000,0,1,45,3e-07,6
2023-12-14 09:50:27,1001.84482,273.504,1079.08657,292.862,320.000,0,1,45,3e-07,6
2023-12-14 09:50:31,1002.08207,273.565,1079.08687,292.862,320.000,0,1,45,3e-07,6
2023-12-14 09:50:35,1002.31932,273.626,1079.08627,292.862,320.000,0,1,45,3e-07,6
2023-12-14 09:50:39,1002.55419,273.686,1079.08687,292.862,320.000,0,1,45,3e-07,6
2023-12-14 09:50:43,1002.78876,273.746,1079.09909,292.865,320.000,0,1,45,3e-07,6
2023-12-14 09:50:48,1003.25402,273.865,1079.10475,292.866,320.000,0,1,45,3e-07,6
2023-12-14 09:50:52,1003.48353,273.923,1079.10684,292.867,320.000,0,1,45,3e-07,6
2023-12-14 09:50:56,1003.71303,273.982,1079.11191,292.868,320.000,0,1,45,3e-07,6
2023-12-14 09:51:00,1003.94253,274.041,1079.11817,292.870,320.000,0,1,45,3e-07,6
2023-12-14 09:51:04,1004.17055,274.099,1079.11697,292.869,320.000,0,1,45,3e-07,6
2023-12-14 09:51:08,1004.39796,274.157,1079.13307,292.874,320.000,0,1,45,3e-07,6
2023-12-14 09:51:13,1004.85101,274.273,1079.13843,292.875,320.000,0,1,45,3e-07,6
2023-12-14 09:51:17,1005.07783,274.331,1079.13933,292.875,320.000,0,1,45,3e-07,6
2023-12-14 09:51:21,1005.30167,274.388,1079.13516,292.874,320.000,0,1,45,3e-07,6
2023-12-14 09:51:25,1005.5267,274.446,1079.13963,292.875,320.000,0,1,45,3e-07,6
2023-12-14 09:51:29,1005.74994,274.503,1079.13903,292.875,320.000,0,1,45,3e-07,6
2023-12-14 09:51:33,1005.97349,274.560,1079.14201,292.876,320.000,0,1,45,3e-07,6
2023-12-14 09:51:38,1006.42087,274.675,1079.13665,292.874,320.000,0,1,45,3e-07,6
2023-12-14 09:51:42,1006.64411,274.732,1079.14171,292.876,320.000,0,1,45,3e-07,6
2023-12-14 09:51:46,1006.86735,274.789,1079.1429,292.876,320.000,0,1,45,3e-07,6
2023-12-14 09:51:50,1007.08881,274.846,1079.14261,292.876,320.000,0,1,45,3e-07,6
2023-12-14 09:51:54,1007.31056,274.902,1079.15095,292.878,320.000,0,1,45,3e-07,6
2023-12-14 09:51:58,1007.53172,274.959,1079.15632,292.880,320.000,0,1,45,3e-07,6
2023-12-14 09:52:03,1007.97106,275.071,1079.15602,292.879,320.000,0,1,45,3e-07,6
2023-12-14 09:52:07,1008.19013,275.128,1079.15274,292.879,320.000,0,1,45,3e-07,6
2023-12-14 09:52:11,1008.41099,275.184,1079.15125,292.878,320.000,0,1,45,3e-07,6
