num,datetime,is_corrected,temp,temp_err,thermal_cond,thermal_cond_err,thermal_diff,thermal_diff_err,tau_min,tau_max,tau_max_limit,mean_power
001,2024-04-27 15:46:14,True,401.34103675794046,1.5716377940338764,0.0054548003145334,0.0001538218529392,1.3883440725496195e-08,2.2385191155576063e-09,1.9751574225525497,7.065752107800296,24.748737341529164,0.0047230808657825
002,2024-04-27 20:59:11,True,401.9427459615764,1.245658075297216,0.0053167711246465,0.0001680861879537,1.3369763917408856e-08,2.5969254526108168e-09,2.45555768141402,6.5255419757248685,24.748737341529164,0.0047269153874758
003,2024-04-28 07:27:14,True,399.492435951473,1.327086200966853,0.005246382130133,0.0001387687177233,1.534875895030822e-08,2.3414144095825435e-09,2.073078027013528,7.42927568376005,24.748737341529164,0.0047092864061928
004,2024-04-28 16:27:19,True,393.7661117939923,1.2486161919257628,0.0051048544336565,0.0001350699305055,1.4922073192961166e-08,2.242864897219116e-09,2.0035063486065003,7.330374176524219,24.748737341529164,0.00466545592905
005,2024-04-29 01:27:14,True,386.3616357865899,1.2178542250836042,0.004965466854149,0.0001262787428034,1.5470794185256012e-08,2.2147134894743103e-09,2.0055937993937265,7.460825522591392,24.748737341529164,0.0046019377091849
006,2024-04-29 10:27:21,True,378.1697742746857,1.2465595578941466,0.0048606593769695,0.0001194607008734,1.6498389310163164e-08,2.2549289849673687e-09,1.9564320381648463,7.707833671395456,24.748737341529164,0.0045321072131381
007,2024-04-29 19:27:23,True,370.0349638707292,0.8938579003233038,0.004600487417669,0.0001233548943285,1.5155817024081764e-08,2.510094968455473e-09,2.7334626013304644,7.048458569427789,24.748737341529164,0.0044579096235796
008,2024-04-30 04:27:15,True,361.1810912476573,1.1411086493519005,0.004580560412417,0.0001159678286669,1.6870491718461905e-08,2.424457405083475e-09,2.1888854807968325,7.292173194363387,24.748737341529164,0.0043803256861314
009,2024-04-30 13:27:20,True,352.3804374529925,1.288583866748794,0.0046369481527125,0.0001019350937242,2.0011879763256828e-08,2.4471401365065703e-09,2.025446951037634,8.479545034338917,24.748737341529164,0.0042999005271305
010,2024-04-30 22:27:20,True,343.7397887848459,1.2719330438837206,0.004441483916768,9.767956478658508e-05,1.8801993835344256e-08,2.279012970621009e-09,2.029196060005142,8.212353614365362,24.748737341529164,0.004218728387312
011,2024-05-01 07:27:24,True,335.08135473956185,1.2937274368415483,0.0042972180321336,9.210647402583376e-05,1.94265234254708e-08,2.2693448551228592e-09,1.9956044954402945,8.351120828813348,24.748737341529164,0.0041357352422289
012,2024-05-01 16:27:24,True,326.4394675555361,1.3029342499039904,0.0041806482092948,9.093638921349718e-05,2.0394989618261946e-08,2.481392321945314e-09,2.029726065972675,8.560326962120966,24.748737341529164,0.0040517637923986
013,2024-05-02 11:08:28,True,309.9606875128384,1.5079374732335382,0.0040006357638096,7.644237309501067e-05,2.2685439687319752e-08,2.3372737524609555e-09,2.037507168767638,9.033245626865748,24.748737341529164,0.0038842222513291
014,2024-05-02 22:07:45,True,304.5489837609396,1.682708311655932,0.0039230725137725,7.355703479274442e-05,2.3616820290832493e-08,2.372209762188164e-09,2.00959604640643,9.221939593560986,24.748737341529164,0.003826812667141
015,2024-05-03 15:01:17,True,300.9328529302347,1.7740932162857894,0.0038844415001,7.170535291729609e-05,2.4126279491558346e-08,2.3865524115934803e-09,2.025208017356469,9.320876163167366,24.748737341529164,0.0037899775046651
016,2024-05-04 01:47:53,True,296.2174932632722,1.4526432936832756,0.0038716632436713,6.951998987338092e-05,2.5764598390099562e-08,2.495315309636451e-09,2.0555763512884475,9.621444902696668,24.748737341529164,0.0037427266711441
017,2024-05-04 10:47:54,True,285.84431775894404,1.2655205696968892,0.003667906858152,6.419794692958224e-05,2.5805721612868293e-08,2.398734828545455e-09,2.025613422261528,9.633139411421096,24.748737341529164,0.003632154117553
018,2024-05-05 03:19:51,True,259.9969039763922,0.543524681078561,0.003436957406550599,6.223746541319089e-05,3.766401885953415e-08,4.518565236527405e-09,4.526502652113061,10.735543661602541,24.748737341529164,0.003332958670450212
019,2024-05-05 12:19:43,True,243.4705180676533,1.0383260836050483,0.0030940270728976,0.0001161729924599,3.2752749119735424e-08,6.066911260008131e-09,2.094962620679554,5.251458345908993,24.748737341529164,0.0031465309403844
020,2024-05-05 21:19:45,True,228.52795450103682,0.4155386912179595,0.003095593694146032,5.120607575557682e-05,5.917215855793328e-08,6.8297976551028844e-09,6.29645505294966,13.704467565829773,24.748737341529164,0.002947948024572687
021,2024-05-06 06:19:48,True,212.3325316000282,0.46834893071868766,0.003018482068577694,4.427145868683428e-05,9.206725844416307e-08,9.415739172145768e-09,7.0509800425081375,16.67738551931377,24.748737341529164,0.0027392333150898676
