time,sample_holder_res,sample_holder_temp,exhaust_res,exhaust_temp,target_temp,cooling_active,heating_active,proportional,integral,derivative
2023-10-23 15:31:40,977.158345,267.196,1091.45887,296.041,-1.000,0,0,0,0,0
2023-10-23 15:31:41,977.168777,267.199,1091.469,296.043,-1.000,0,0,0,0,0
2023-10-23 15:31:43,977.176526,267.201,1091.47765,296.045,-1.000,0,0,0,0,0
2023-10-23 15:31:45,977.183084,267.202,1091.47854,296.046,-1.000,0,0,0,0,0
2023-10-23 15:31:47,977.189343,267.204,1091.48122,296.046,-1.000,0,0,0,0,0
2023-10-23 15:31:49,977.196794,267.206,1091.48361,296.047,-1.000,0,0,0,0,0
2023-10-23 15:31:51,977.201861,267.207,1091.4845,296.047,-1.000,0,0,0,0,0
2023-10-23 15:31:53,977.209611,267.209,1091.48391,296.047,-1.000,0,0,0,0,0
2023-10-23 15:31:55,977.214081,267.210,1091.4845,296.047,-1.000,0,0,0,0,0
2023-10-23 15:31:57,977.220639,267.212,1091.48391,296.047,-1.000,0,0,0,0,0
2023-10-23 15:31:59,977.22809,267.214,1091.48629,296.048,-1.000,0,0,0,0,0
2023-10-23 15:32:01,977.234945,267.215,1091.48778,296.048,-1.000,0,0,0,0,0
2023-10-23 15:32:03,977.240906,267.217,1091.48748,296.048,-1.000,0,0,0,0,0
2023-10-23 15:32:05,977.251636,267.220,1091.48718,296.048,-1.000,0,0,0,0,0
2023-10-23 15:32:07,977.254915,267.221,1091.48599,296.048,-1.000,0,0,0,0,0
2023-10-23 15:32:09,977.260876,267.222,1091.48599,296.048,-1.000,0,0,0,0,0
2023-10-23 15:32:11,977.266837,267.224,1091.48629,296.048,-1.000,0,0,0,0,0
2023-10-23 15:32:13,977.273395,267.225,1091.48689,296.048,-1.000,0,0,0,0,0
2023-10-23 15:32:15,977.279356,267.227,1091.4842,296.047,-1.000,0,0,0,0,0
2023-10-23 15:32:17,977.285317,267.228,1091.48033,296.046,-1.000,0,0,0,0,0
2023-10-23 15:32:19,977.291874,267.230,1091.47765,296.045,-1.000,0,0,0,0,0
2023-10-23 15:32:21,977.297239,267.231,1091.47645,296.045,-1.000,0,0,0,0,0
2023-10-23 15:32:22,977.304094,267.233,1091.47437,296.045,-1.000,0,0,0,0,0
2023-10-23 15:32:24,977.310353,267.235,1091.47377,296.044,-1.000,0,0,0,0,0
2023-10-23 15:32:26,977.317805,267.237,1091.47318,296.044,-1.000,0,0,0,0,0
2023-10-23 15:32:28,977.323766,267.238,1091.47198,296.044,-1.000,0,0,0,0,0
2023-10-23 15:32:30,977.330025,267.240,1091.47198,296.044,-1.000,0,0,0,0,0
2023-10-23 15:32:32,977.33688,267.241,1091.4696,296.043,-1.000,0,0,0,0,0
2023-10-23 15:32:34,977.342842,267.243,1091.4687,296.043,-1.000,0,0,0,0,0
2023-10-23 15:32:36,977.349399,267.245,1091.46662,296.043,-1.000,0,0,0,0,0
2023-10-23 15:32:38,977.354466,267.246,1091.46543,296.042,-1.000,0,0,0,0,0
2023-10-23 15:32:40,977.363407,267.248,1091.46543,296.042,-1.000,0,0,0,0,0
2023-10-23 15:32:42,977.36907,267.250,1091.46513,296.042,-1.000,0,0,0,0,0
2023-10-23 15:32:44,977.374734,267.251,1091.46513,296.042,-1.000,0,0,0,0,0
2023-10-23 15:32:46,977.380993,267.253,1091.46036,296.041,-1.000,0,0,0,0,0
2023-10-23 15:32:48,977.386954,267.254,1091.45887,296.041,-1.000,0,0,0,0,0
2023-10-23 15:32:50,977.393809,267.256,1091.45559,296.040,-1.000,0,0,0,0,0
2023-10-23 15:32:52,977.39977,267.258,1091.4535,296.039,-1.000,0,0,0,0,0
2023-10-23 15:32:54,977.405433,267.259,1091.45142,296.039,-1.000,0,0,0,0,0
2023-10-23 15:32:56,977.411991,267.261,1091.45052,296.038,-1.000,0,0,0,0,0
2023-10-23 15:32:58,977.419442,267.263,1091.44963,296.038,-1.000,0,0,0,0,0
