time,sample_holder_res,sample_holder_temp,exhaust_res,exhaust_temp,target_temp,cooling_active,heating_active,proportional,integral,derivative
2023-11-13 16:51:07,839.484286,232.238,846.134507,233.566,-1.000,0,0,59.1,1.49e-07,3.26
2023-11-13 16:51:09,839.468787,232.235,848.040872,234.047,-1.000,0,0,59.1,1.49e-07,3.26
2023-11-13 16:51:11,839.44375,232.228,849.798805,234.490,-1.000,0,0,59.1,1.49e-07,3.26
2023-11-13 16:51:13,839.412157,232.220,851.440496,234.904,230.000,0,0,59.1,1.49e-07,3.26
2023-11-13 16:51:15,839.374303,232.211,852.971609,235.291,230.000,0,0,59.1,1.49e-07,3.26
2023-11-13 16:51:17,839.331085,232.200,847.363391,233.876,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:19,839.285185,232.188,821.357427,227.324,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:21,839.237794,232.176,769.322846,214.260,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:23,839.18623,232.163,704.665602,198.115,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:25,839.131686,232.149,678.402117,191.587,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:27,839.069094,232.134,665.550845,188.399,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:29,839.004118,232.117,565.510801,163.737,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:31,838.9302,232.099,478.252582,142.469,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:33,838.848533,232.078,384.997183,120.022,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:35,838.75703,232.055,332.016274,107.411,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:37,838.655393,232.029,269.134847,92.587,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:39,838.54541,232.001,314.661976,103.304,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:41,838.425294,231.971,325.578269,105.886,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:43,838.290871,231.937,249.20475,87.923,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:45,838.145717,231.900,227.150111,82.781,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:47,837.991026,231.861,214.227306,79.778,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:49,837.827096,231.820,198.1466,76.051,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:51,837.649753,231.775,198.124245,76.046,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:53,837.462275,231.728,214.321492,79.800,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:54,837.266751,231.679,198.001745,76.018,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:56,837.060794,231.627,197.717399,75.952,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:51:58,836.845896,231.572,197.661663,75.939,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:00,836.622354,231.516,197.678354,75.943,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:02,836.39464,231.458,197.660769,75.939,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:04,836.156493,231.398,197.661365,75.939,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:06,835.912683,231.337,197.577015,75.920,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:08,835.664105,231.274,197.659875,75.939,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:10,835.411055,231.210,197.697132,75.947,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:12,835.148766,231.144,197.687296,75.945,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:14,834.882901,231.077,197.693257,75.947,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:16,834.613458,231.009,197.694151,75.947,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:18,834.335074,230.939,197.682229,75.944,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:20,834.054604,230.868,197.667326,75.941,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:22,833.771153,230.796,197.684315,75.944,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:24,833.487999,230.725,197.662855,75.940,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:26,833.200376,230.652,197.683123,75.944,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:28,832.909175,230.579,197.645568,75.936,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:30,832.613802,230.504,197.669412,75.941,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:32,832.317534,230.429,197.653913,75.937,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:34,832.017988,230.354,197.657192,75.938,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:36,831.716356,230.278,197.682229,75.944,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:37,831.413233,230.201,197.676864,75.943,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:40,831.109812,230.125,197.675373,75.942,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:42,830.801921,230.047,197.66971,75.941,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:43,830.496413,229.970,197.67746,75.943,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:45,830.185839,229.892,197.671201,75.941,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:47,829.874967,229.813,197.678354,75.943,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:49,829.564095,229.735,197.684613,75.945,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:51,829.251732,229.656,197.679248,75.943,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:53,828.938774,229.577,197.684613,75.945,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:55,828.624027,229.498,197.675373,75.942,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:57,828.30928,229.418,197.679248,75.943,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:52:59,827.992149,229.338,197.67895,75.943,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:01,827.677104,229.259,197.682527,75.944,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:03,827.359674,229.179,197.68044,75.944,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:05,827.044629,229.099,197.685805,75.945,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:07,826.728988,229.020,197.692065,75.946,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:09,826.412751,228.940,197.69117,75.946,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:11,826.098004,228.861,197.685805,75.945,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:13,825.777594,228.780,197.644674,75.935,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:15,825.460463,228.700,197.609503,75.927,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:17,825.140053,228.619,197.657788,75.938,230.000,1,0,59.1,1.49e-07,3.26
2023-11-13 16:53:19,824.822921,228.539,197.698324,75.948,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:21,824.50579,228.459,197.636924,75.934,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:23,824.205052,228.383,197.61308,75.928,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:25,823.915341,228.310,197.574929,75.919,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:26,823.633083,228.239,197.552873,75.914,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:28,823.353506,228.168,197.550488,75.914,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:30,823.079295,228.099,197.55168,75.914,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:32,822.807468,228.031,197.553767,75.914,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:34,822.5419,227.964,197.553171,75.914,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:36,822.284976,227.899,197.554959,75.915,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:38,822.033119,227.836,197.555257,75.915,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:40,821.790502,227.774,197.555257,75.915,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:42,821.55772,227.716,197.554959,75.915,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:44,821.333582,227.659,197.555257,75.915,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:46,821.11928,227.605,197.555853,75.915,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:48,820.9169,227.554,197.555555,75.915,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:50,820.724654,227.506,197.556747,75.915,230.000,0,1,59.1,1.49e-07,3.26
2023-11-13 16:53:52,820.543734,227.460,197.556747,75.915,230.000,0,1,59.1,1.49e-07,3.26
